JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits,Status_Binary
Registered Nurse,141482.0,4036.12,32585.61,44537.81,178103.73,222641.54,0
Nurse Practitioner,177675.0,0.0,1525.0,43310.63,179200.0,222510.63,0
Nurse Practitioner,167129.0,94.67,250.0,54580.04,167473.67,222053.71,0
Clinical Nurse Specialist,167051.0,0.0,250.0,54560.09,167301.0,221861.09,0
Registered Nurse,139862.5,10456.31,20290.12,51039.61,170608.93,221648.54,0
Registered Nurse,120830.41,8409.63,52676.27,39592.62,181916.31,221508.93,1
Nurse Manager,130040.04,0.0,50378.72,40958.58,180418.76,221377.34,1
Nurse Practitioner,168785.01,0.0,250.0,52254.61,169035.01,221289.62,1
Nurse Practitioner,166737.05,0.0,250.0,54211.84,166987.05,221198.89,0
Nurse Practitioner,165636.78,281.45,2945.23,52230.25,168863.46,221093.71,0
Nurse Practitioner,167051.14,0.0,1714.74,51799.92,168765.88,220565.8,0
Nurse Practitioner,167955.83,0.0,250.0,52336.53,168205.83,220542.36,0
Registered Nurse,133150.0,8118.65,30952.65,47846.0,172221.3,220067.3,0
Registered Nurse,137310.0,2791.98,28746.26,51060.88,168848.24,219909.12,0
Registered Nurse,133529.18,6825.61,28690.03,50828.65,169044.82,219873.47,0
Registered Nurse,140938.7,4202.4,31292.47,43129.24,176433.57,219562.81,0
Clinical Nurse Specialist,165981.0,1022.39,1641.94,50891.36,168645.33,219536.69,0
Nurse Manager,150542.7,0.0,21189.82,47595.08,171732.52,219327.6,0
Registered Nurse,139305.9,12028.98,17151.33,50610.5,168486.21,219096.71,0
Registered Nurse,137975.95,10718.1,27532.65,42725.49,176226.7,218952.19,0
Nurse Practitioner,163617.82,0.0,2482.66,52594.72,166100.48,218695.2,0
Nurse Practitioner,164117.89,0.0,250.0,53840.65,164367.89,218208.54,0
Nurse Practitioner,165394.89,0.0,250.0,52495.42,165644.89,218140.31,0
Nurse Manager,168734.37,0.0,630.0,48685.74,169364.37,218050.11,1
Registered Nurse,138982.14,12095.86,23724.12,43210.89,174802.12,218013.01,0
Registered Nurse,129742.24,14166.79,27536.28,46418.4,171445.31,217863.71,0
Registered Nurse,139841.3,9446.31,26592.55,41729.25,175880.16,217609.41,0
Registered Nurse,140938.7,8249.73,17137.53,51056.64,166325.96,217382.6,0
Nurse Practitioner,149422.75,8331.47,8690.18,50908.81,166444.4,217353.21,1
Nurse Practitioner,148452.89,12595.23,7579.49,48608.39,168627.61,217236.0,1
Registered Nurse,141482.0,4828.77,20676.91,50062.09,166987.68,217049.77,0
Registered Nurse,140682.85,3824.86,23124.99,49095.02,167632.7,216727.72,0
Registered Nurse,141482.0,7293.87,17813.7,49700.11,166589.57,216289.68,0
Nurse Manager,146346.14,0.0,20453.61,49414.7,166799.75,216214.45,0
Registered Nurse,133150.0,9401.64,29832.07,43826.83,172383.71,216210.54,0
Nurse Manager,159988.0,0.0,6154.8,49694.37,166142.8,215837.17,0
Registered Nurse,140912.1,6310.79,17023.36,51064.37,164246.25,215310.62,0
Registered Nurse,136616.15,9892.5,28984.14,39810.63,175492.79,215303.42,0
Registered Nurse,129034.37,9194.77,33186.79,43835.47,171415.93,215251.4,0
Registered Nurse,141482.0,9357.12,19342.99,45052.63,170182.11,215234.74,0
Registered Nurse,139973.2,7656.06,20332.9,47205.96,167962.16,215168.12,0
Registered Nurse,135145.0,9853.67,30033.47,39948.17,175032.14,214980.31,0
Nurse Practitioner,154152.65,3888.28,6441.29,50297.82,164482.22,214780.04,0
Registered Nurse,141482.0,7311.68,17351.06,48520.8,166144.74,214665.54,0
Registered Nurse,141482.0,9077.37,14007.83,50052.77,164567.2,214619.97,0
Clinical Nurse Specialist,162283.0,0.0,250.0,51773.22,162533.0,214306.22,0
Registered Nurse,138141.28,7062.09,19270.98,49560.04,164474.35,214034.39,0
Registered Nurse,141482.0,4570.03,16963.68,50823.16,163015.71,213838.87,0
Registered Nurse,124166.53,14984.58,27028.43,47446.57,166179.54,213626.11,1
Registered Nurse,131080.0,6314.14,29279.46,46831.54,166673.6,213505.14,0
Registered Nurse,141482.0,8299.17,13224.58,50312.75,163005.75,213318.5,0
Registered Nurse,132832.3,8297.92,24645.07,47204.56,165775.29,212979.85,0
Clinical Nurse Specialist,162283.0,0.0,327.9,50145.46,162610.9,212756.36,0
Nurse Manager,142440.02,0.0,26046.94,43847.28,168486.96,212334.24,1
Registered Nurse,141482.0,7465.98,19522.99,43751.39,168470.97,212222.36,0
Registered Nurse,140912.1,8164.24,16768.76,45943.0,165845.1,211788.1,0
Registered Nurse,139556.36,10133.13,12700.74,49122.78,162390.23,211513.01,0
Registered Nurse,141197.05,11979.73,20337.68,37795.39,173514.46,211309.85,0
Nurse Practitioner,146880.42,4271.07,8658.63,51386.85,159810.12,211196.97,0
Nurse Practitioner,157444.29,0.0,1318.3,52382.0,158762.59,211144.59,0
Registered Nurse,141482.0,7389.66,21087.02,40932.59,169958.68,210891.27,0
Nurse Practitioner,158218.27,0.0,250.0,52117.15,158468.27,210585.42,0
Nurse Practitioner,131288.17,20204.52,14809.51,44059.28,166302.2,210361.48,1
Registered Nurse,128577.74,7288.38,30973.21,43398.73,166839.33,210238.06,0
Registered Nurse,140354.84,8249.73,18409.86,43128.52,167014.43,210142.95,0
Registered Nurse,139258.17,9144.94,12473.26,48942.51,160876.37,209818.88,0
Registered Nurse,130359.3,7349.13,22456.76,49459.57,160165.19,209624.76,0
Registered Nurse,139026.35,9740.82,21934.19,38907.93,170701.36,209609.29,0
Nurse Practitioner,157126.21,0.0,250.0,52131.79,157376.21,209508.0,0
Nurse Practitioner,157486.68,0.0,2454.64,48990.99,159941.32,208932.31,1
Registered Nurse,128123.4,8328.25,29901.24,42368.5,166352.89,208721.39,0
Registered Nurse,138433.87,5459.21,26144.45,38675.73,170037.53,208713.26,0
Registered Nurse,136656.31,14939.93,20011.72,36981.5,171607.96,208589.46,0
Clinical Nurse Specialist,156936.4,0.0,1076.0,50538.1,158012.4,208550.5,0
Nurse Manager,155382.07,0.0,4628.02,48037.37,160010.09,208047.46,0
Registered Nurse,141465.02,6336.97,10537.89,49640.91,158339.88,207980.79,0
Registered Nurse,140921.72,7236.23,14649.57,45070.13,162807.52,207877.65,0
Registered Nurse,133150.0,4547.0,20778.96,49278.28,158475.96,207754.24,0
Registered Nurse,140070.0,4743.22,15988.72,46742.01,160801.94,207543.95,0
Registered Nurse,133150.0,6944.94,19584.78,47626.91,159679.72,207306.63,0
Registered Nurse,133150.0,7908.58,21879.12,44325.07,162937.7,207262.77,0
Registered Nurse,126405.0,7966.75,26058.35,46621.05,160430.1,207051.15,0
Registered Nurse,141482.0,6590.08,9694.93,49273.72,157767.01,207040.73,0
Nurse Practitioner,156181.18,0.0,1300.0,49294.81,157481.18,206775.99,1
Nurse Practitioner,151975.12,0.0,3367.5,51020.0,155342.62,206362.62,0
Nurse Practitioner,147160.53,2771.95,6230.14,50119.86,156162.62,206282.48,1
Registered Nurse,136870.17,1747.63,20161.67,47282.83,158779.47,206062.3,0
Nurse Practitioner,138985.32,17528.7,3982.83,45532.84,160496.85,206029.69,1
Nurse Practitioner,156222.23,0.0,850.0,48834.98,157072.23,205907.21,1
Nurse Manager,157840.8,0.0,0.0,47585.77,157840.8,205426.57,0
Nurse Practitioner,151777.0,93.07,4785.69,48683.03,156655.76,205338.79,1
Clinical Nurse Specialist,154191.24,0.0,250.0,49896.69,154441.24,204337.93,1
Registered Nurse,125950.99,5889.58,24697.67,47452.46,156538.24,203990.7,1
Registered Nurse,141482.0,5458.22,12797.21,44213.93,159737.43,203951.36,0
Registered Nurse,132533.94,4308.5,18399.32,48688.06,155241.76,203929.82,0
Registered Nurse,137840.12,12993.27,13880.06,38868.58,164713.45,203582.03,0
Nurse Practitioner,154708.93,0.0,250.0,48613.28,154958.93,203572.21,1
Nurse Manager,155382.02,0.0,910.0,47243.63,156292.02,203535.65,0
Public Health Nurse,141482.04,0.0,12253.14,49718.49,153735.18,203453.67,0
Registered Nurse,132632.09,4772.77,22862.17,43134.67,160267.03,203401.7,0
Registered Nurse,136052.58,7220.49,13137.67,46949.69,156410.74,203360.43,0
Registered Nurse,127097.59,8817.09,19318.84,47805.32,155233.52,203038.84,0
Nurse Practitioner,148504.65,410.0,3315.63,50775.93,152230.28,203006.21,0
Registered Nurse,131080.0,4498.44,19764.81,47582.93,155343.25,202926.18,0
Registered Nurse,139305.9,10382.65,5429.15,47789.7,155117.7,202907.4,0
Registered Nurse,136579.13,1636.48,24072.7,40570.99,162288.31,202859.3,0
Nurse Midwife,154359.76,0.0,948.78,47535.5,155308.54,202844.04,1
Registered Nurse,141482.0,6720.13,8253.04,46245.1,156455.17,202700.27,0
Registered Nurse,124510.13,10949.79,20445.51,46786.14,155905.43,202691.57,1
Registered Nurse,130488.46,7845.64,19851.86,44427.66,158185.96,202613.62,0
Registered Nurse,141450.37,10312.2,12909.77,37773.85,164672.34,202446.19,0
Registered Nurse,126332.07,10763.03,22262.54,43064.48,159357.64,202422.12,1
Registered Nurse,141482.01,6571.04,8764.68,45513.46,156817.73,202331.19,0
Nursing Supervisor,125528.0,0.0,33540.9,43172.75,159068.9,202241.65,1
Nurse Manager,113965.5,0.0,52769.48,35145.06,166734.98,201880.04,1
Nurse Practitioner,150323.18,4164.15,409.06,46978.04,154896.39,201874.43,1
Registered Nurse,140905.05,6353.53,16790.99,37672.23,164049.57,201721.8,0
Registered Nurse,124213.15,10629.41,20259.92,46540.61,155102.48,201643.09,1
Registered Nurse,141482.0,7319.55,5472.42,47005.8,154273.97,201279.77,0
Registered Nurse,135185.0,7020.73,15550.5,43445.07,157756.23,201201.3,0
Registered Nurse,141118.07,6565.28,5559.58,47954.21,153242.93,201197.14,0
Registered Nurse,141482.0,5862.43,5374.52,48108.78,152718.95,200827.73,0
Nurse Practitioner,152941.64,0.0,250.0,47391.23,153191.64,200582.87,1
Registered Nurse,141482.0,814.95,9240.56,49016.6,151537.51,200554.11,0
Registered Nurse,125876.73,7797.05,22090.68,44640.02,155764.46,200404.48,1
Registered Nurse,129115.0,7607.78,21034.45,42637.77,157757.23,200395.0,0
Registered Nurse,137310.01,8057.64,9583.15,45443.74,154950.8,200394.54,0
Registered Nurse,139419.55,1154.05,10798.61,48818.65,151372.21,200190.86,0
Registered Nurse,141431.07,0.0,8896.1,49761.72,150327.17,200088.89,0
Registered Nurse,125303.49,6878.41,20881.63,46716.99,153063.53,199780.52,1
Registered Nurse,142009.5,9029.25,4388.46,44291.18,155427.21,199718.39,0
Registered Nurse,141482.0,0.0,9168.45,48997.95,150650.45,199648.4,0
Registered Nurse,127041.41,10929.73,27675.01,33983.89,165646.15,199630.04,0
Nurse Manager,131054.45,647.53,30482.14,37207.25,162184.12,199391.37,1
Registered Nurse,139550.95,8979.4,3728.06,47100.62,152258.41,199359.03,0
Clinical Nurse Specialist,148917.1,0.0,304.9,50136.98,149222.0,199358.98,0
Registered Nurse,141482.0,8238.0,2145.18,47479.85,151865.18,199345.03,0
Registered Nurse,141482.0,7359.45,2536.96,47874.28,151378.41,199252.69,0
Nurse Practitioner,150949.12,0.0,1035.79,47235.44,151984.91,199220.35,1
Registered Nurse,141482.0,6698.24,4302.92,46727.55,152483.16,199210.71,0
Registered Nurse,129655.85,9388.18,22675.0,37314.46,161719.03,199033.49,0
Public Health Nurse,137310.01,0.0,12742.59,48860.81,150052.6,198913.41,0
Registered Nurse,140217.13,4220.11,10274.93,44096.7,154712.17,198808.87,0
Registered Nurse,125421.45,6464.46,20506.79,46291.44,152392.7,198684.14,1
Nurse Manager,134627.06,722.1,17282.59,45788.63,152631.75,198420.38,0
Public Health Nurse,141482.09,0.0,8095.06,48748.37,149577.15,198325.52,0
Registered Nurse,141482.02,0.0,8097.6,48743.27,149579.62,198322.89,0
Nurse Manager,113952.01,0.0,49497.9,34839.17,163449.91,198289.08,1
Registered Nurse,133150.0,5120.13,12095.79,47739.01,150365.92,198104.93,0
Registered Nurse,137776.46,9216.83,11495.86,39614.76,158489.15,198103.91,0
Registered Nurse,139477.7,5425.65,8018.9,44903.34,152922.25,197825.59,0
Registered Nurse,141464.19,431.45,7220.31,48585.71,149115.95,197701.66,0
Registered Nurse,132067.87,9086.77,11908.07,44500.84,153062.71,197563.55,0
Nurse Manager,146850.19,0.0,14685.01,35859.36,161535.2,197394.56,1
Registered Nurse,124459.4,13326.79,14346.88,45122.55,152133.07,197255.62,1
Public Health Nurse,141482.03,0.0,7128.19,48522.83,148610.22,197133.05,0
Registered Nurse,138857.28,10063.0,11439.24,36742.63,160359.52,197102.15,0
Registered Nurse,139852.11,0.0,8835.85,48372.63,148687.96,197060.59,0
Nurse Practitioner,149790.91,0.0,1010.63,46168.42,150801.54,196969.96,1
Registered Nurse,133038.87,8687.93,14817.72,40395.6,156544.52,196940.12,0
Registered Nurse,116990.26,10992.12,25023.32,43907.54,153005.7,196913.24,1
Registered Nurse,132599.6,4333.53,12309.14,47587.21,149242.27,196829.48,0
Registered Nurse,129982.99,9389.27,23121.92,34290.63,162494.18,196784.81,0
Registered Nurse,129115.0,8283.97,19605.13,39613.44,157004.1,196617.54,0
Registered Nurse,129667.93,9989.69,18027.63,38856.59,157685.25,196541.84,1
Registered Nurse,127569.62,10349.0,12692.07,45838.32,150610.69,196449.01,1
Registered Nurse,137310.01,0.0,10688.61,48370.79,147998.62,196369.41,0
Nurse Practitioner,150026.17,0.0,250.0,46079.01,150276.17,196355.18,1
Registered Nurse,126156.27,12234.81,17279.97,40653.64,155671.05,196324.69,0
Registered Nurse,141482.01,4256.23,5247.92,45280.36,150986.16,196266.52,0
Registered Nurse,141482.01,3615.16,16429.52,34700.52,161526.69,196227.21,0
Registered Nurse,124720.6,5480.19,19466.07,46350.69,149666.86,196017.55,1
Public Health Nurse,141482.01,0.0,6078.01,48276.48,147560.02,195836.5,0
Public Health Nurse,141482.01,0.0,6078.0,48276.24,147560.01,195836.25,0
Nurse Manager,149686.67,0.0,248.42,45887.21,149935.09,195822.3,0
Registered Nurse,141482.01,0.0,12548.82,41584.82,154030.83,195615.65,0
Registered Nurse,141482.0,7446.75,2389.06,44257.52,151317.81,195575.33,0
Registered Nurse,141248.01,2952.93,8587.73,42598.6,152788.67,195387.27,0
Registered Nurse,139846.71,3590.52,5928.21,45906.05,149365.44,195271.49,0
Registered Nurse,124267.2,5691.54,20109.31,45090.83,150068.05,195158.88,1
Registered Nurse,141482.01,3379.5,2772.21,47523.22,147633.72,195156.94,0
Registered Nurse,125390.43,9045.7,18912.07,41797.45,153348.2,195145.65,1
Registered Nurse,129115.0,4941.1,14693.77,46218.06,148749.87,194967.93,0
Registered Nurse,139905.9,7220.94,6926.78,40836.54,154053.62,194890.16,0
Public Health Nurse,140577.22,0.0,6128.02,48077.43,146705.24,194782.67,0
Registered Nurse,141072.39,7809.35,1592.95,44165.25,150474.69,194639.94,0
Clinical Nurse Specialist,145718.36,0.0,250.0,48626.9,145968.36,194595.26,0
Registered Nurse,136569.38,7342.32,9187.68,41324.95,153099.38,194424.33,0
Registered Nurse,141753.65,0.0,5958.62,46547.9,147712.27,194260.17,0
Registered Nurse,137310.0,8057.64,9415.11,39410.63,154782.75,194193.38,0
Registered Nurse,141235.48,4213.49,1861.81,46821.42,147310.78,194132.2,0
Registered Nurse,132440.49,11250.84,14090.12,36266.77,157781.45,194048.22,0
Registered Nurse,125073.91,10430.38,17515.04,41020.35,153019.33,194039.68,1
